Loading args...
Initialized args, start initializing models
start parsing args...
Successfully allocated device:  cuda
Successfully initialized the environment
Sequential(
  (0): Linear(in_features=30, out_features=256, bias=True)
  (1): LeakyReLU(negative_slope=0.01)
  (2): Linear(in_features=256, out_features=256, bias=True)
  (3): LeakyReLU(negative_slope=0.01)
  (4): Linear(in_features=256, out_features=61, bias=True)
)
Successfully initialized the optimizer, start training
round 1, mean_R=0.0049025307591819, mean_top_k_R=0.0049025307591819, num_unique_Rs=16
round 101, mean_R=0.010274242042826943, mean_top_k_R=0.05761214677244425, num_unique_Rs=1616
round 201, mean_R=0.012368528313422373, mean_top_k_R=0.08641005355864763, num_unique_Rs=3216
round 301, mean_R=0.015729456348509058, mean_top_k_R=0.11843379884958267, num_unique_Rs=4816
round 401, mean_R=0.018035326133103626, mean_top_k_R=0.14598109409213067, num_unique_Rs=6416
round 501, mean_R=0.01980637082487988, mean_top_k_R=0.1625753664970398, num_unique_Rs=8013
round 601, mean_R=0.021376162427853982, mean_top_k_R=0.17893431067466736, num_unique_Rs=9610
round 701, mean_R=0.02278172783801088, mean_top_k_R=0.1886634823679924, num_unique_Rs=11207
round 801, mean_R=0.023649690323159174, mean_top_k_R=0.19408760458230973, num_unique_Rs=12802
round 901, mean_R=0.02438904383918056, mean_top_k_R=0.19542667657136917, num_unique_Rs=14396
round 1001, mean_R=0.024972823715392584, mean_top_k_R=0.19974828615784646, num_unique_Rs=15993
round 1101, mean_R=0.025321066328060915, mean_top_k_R=0.2065281441807747, num_unique_Rs=17583
round 1201, mean_R=0.025663157535450593, mean_top_k_R=0.2087064018845558, num_unique_Rs=19175
round 1301, mean_R=0.025991595826565475, mean_top_k_R=0.2128858408331871, num_unique_Rs=20767
round 1401, mean_R=0.026178098922059398, mean_top_k_R=0.21577421367168426, num_unique_Rs=22359
round 1501, mean_R=0.0261836979943262, mean_top_k_R=0.21684422090649605, num_unique_Rs=23950
round 1601, mean_R=0.026321030937435246, mean_top_k_R=0.21993429124355315, num_unique_Rs=25542
round 1701, mean_R=0.026347540169604042, mean_top_k_R=0.22261069297790528, num_unique_Rs=27133
round 1801, mean_R=0.02632966112997467, mean_top_k_R=0.22465837746858597, num_unique_Rs=28722
round 1901, mean_R=0.026395731226927486, mean_top_k_R=0.22539200335741044, num_unique_Rs=30306
